"REF_DATE","GEO","DGUID","Sexual orientation","Sex","Age group","Selected Sociodemographic characteristics","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271215852","2.2.1.1.8.1","","F","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271215858","2.2.1.1.9.1","4400","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271215864","2.2.1.1.10.1","14700","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271215870","2.2.1.1.11.1","4000","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271215876","2.2.1.1.12.1","3600","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271215882","2.2.1.1.13.1","5700","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271215888","2.2.1.1.14.1","4400","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271215894","2.2.1.1.15.1","7700","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271215936","2.2.1.1.22.1","19600","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271215966","2.2.1.1.27.1","5300","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271215942","2.2.1.1.23.1","12500","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271215948","2.2.1.1.24.1","4000","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271215960","2.2.1.1.26.1","8200","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Lesbian or gay","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271215810","2.2.1.1.1.1","25400","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271218048","2.3.1.1.2.1","6200","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271218054","2.3.1.1.3.1","3600","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271218060","2.3.1.1.4.1","2300","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271218066","2.3.1.1.5.1","7900","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271218072","2.3.1.1.6.1","7000","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271218078","2.3.1.1.7.1","27800","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271218156","2.3.1.1.20.1","24300","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271218162","2.3.1.1.21.1","10500","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271218132","2.3.1.1.16.1","2000","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271218138","2.3.1.1.17.1","32700","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271218144","2.3.1.1.18.1","3300","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271218150","2.3.1.1.19.1","31100","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271218204","2.3.1.1.28.1","31400","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271218210","2.3.1.1.29.1","1600","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271218216","2.3.1.1.30.1","","F","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271218222","2.3.1.1.31.1","","F","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271218084","2.3.1.1.8.1","2000","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271218090","2.3.1.1.9.1","4100","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271218096","2.3.1.1.10.1","13700","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271218102","2.3.1.1.11.1","11600","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271218108","2.3.1.1.12.1","8000","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271218114","2.3.1.1.13.1","6300","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271218120","2.3.1.1.14.1","4400","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271218126","2.3.1.1.15.1","4400","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271218168","2.3.1.1.22.1","25700","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271218198","2.3.1.1.27.1","8300","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271218174","2.3.1.1.23.1","15300","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271218180","2.3.1.1.24.1","5200","E","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271218192","2.3.1.1.26.1","13600","","","","0"
"2015/2018","Atlantic provinces","2016A00011","Bisexual","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271218042","2.3.1.1.1.1","34800","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271220280","3.1.1.1.2.1","2247800","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271220286","3.1.1.1.3.1","1476100","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271220292","3.1.1.1.4.1","813200","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271220298","3.1.1.1.5.1","944200","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271220304","3.1.1.1.6.1","1378200","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271220310","3.1.1.1.7.1","4918900","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271220388","3.1.1.1.20.1","5108900","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271220394","3.1.1.1.21.1","1188300","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271220364","3.1.1.1.16.1","741800","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271220370","3.1.1.1.17.1","5541800","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271220376","3.1.1.1.18.1","112200","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271220382","3.1.1.1.19.1","6156100","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271220436","3.1.1.1.28.1","535000","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271220442","3.1.1.1.29.1","5017800","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271220448","3.1.1.1.30.1","427500","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271220454","3.1.1.1.31.1","313200","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271220316","3.1.1.1.8.1","810000","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271220322","3.1.1.1.9.1","940600","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271220328","3.1.1.1.10.1","3633400","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271220334","3.1.1.1.11.1","1357100","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271220340","3.1.1.1.12.1","1378900","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271220346","3.1.1.1.13.1","1323700","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271220352","3.1.1.1.14.1","1269400","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271220358","3.1.1.1.15.1","968100","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271220400","3.1.1.1.22.1","4388000","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271220430","3.1.1.1.27.1","1497800","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271220406","3.1.1.1.23.1","3237100","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271220412","3.1.1.1.24.1","695500","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271220424","3.1.1.1.26.1","1936000","","","","0"
"2015/2018","Quebec","2016A000224","Heterosexual","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271220274","3.1.1.1.1.1","6297200","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271222512","3.2.1.1.2.1","10200","E","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271222518","3.2.1.1.3.1","42400","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271222524","3.2.1.1.4.1","8300","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271222530","3.2.1.1.5.1","46200","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271222536","3.2.1.1.6.1","10400","E","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271222542","3.2.1.1.7.1","121400","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271222620","3.2.1.1.20.1","117500","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271222626","3.2.1.1.21.1","14300","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271222596","3.2.1.1.16.1","9300","E","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271222602","3.2.1.1.17.1","122500","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271222608","3.2.1.1.18.1","","F","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271222614","3.2.1.1.19.1","127400","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271222668","3.2.1.1.28.1","10700","E","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271222674","3.2.1.1.29.1","103200","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271222680","3.2.1.1.30.1","14000","E","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271222686","3.2.1.1.31.1","","F","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271222548","3.2.1.1.8.1","8500","E","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271222554","3.2.1.1.9.1","15500","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271222560","3.2.1.1.10.1","81700","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271222566","3.2.1.1.11.1","26500","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271222572","3.2.1.1.12.1","26000","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271222578","3.2.1.1.13.1","28400","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271222584","3.2.1.1.14.1","28000","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271222590","3.2.1.1.15.1","22900","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271222632","3.2.1.1.22.1","104300","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271222662","3.2.1.1.27.1","24900","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271222638","3.2.1.1.23.1","75100","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271222644","3.2.1.1.24.1","21200","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271222656","3.2.1.1.26.1","32300","","","","0"
"2015/2018","Quebec","2016A000224","Lesbian or gay","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271222506","3.2.1.1.1.1","131800","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271224744","3.3.1.1.2.1","14000","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271224750","3.3.1.1.3.1","20700","E","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271224756","3.3.1.1.4.1","10500","E","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), single (never married)","Number of persons","Number","223","units","0","v1271224762","3.3.1.1.5.1","29300","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Lives in household with at least one child under 12","Number of persons","Number","223","units","0","v1271224768","3.3.1.1.6.1","17700","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Lives in household with no children under 12","Number of persons","Number","223","units","0","v1271224774","3.3.1.1.7.1","92000","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Place of residence, population centre","Number of persons","Number","223","units","0","v1271224852","3.3.1.1.20.1","95400","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Place of residence, rural area","Number of persons","Number","223","units","0","v1271224858","3.3.1.1.21.1","14300","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Visible minority","Number of persons","Number","223","units","0","v1271224828","3.3.1.1.16.1","9300","E","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Not a visible minority","Number of persons","Number","223","units","0","v1271224834","3.3.1.1.17.1","100300","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Indigenous identity","Number of persons","Number","223","units","0","v1271224840","3.3.1.1.18.1","4400","E","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Non-Indigenous identity","Number of persons","Number","223","units","0","v1271224846","3.3.1.1.19.1","105300","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English or English and other","Number of persons","Number","223","units","0","v1271224900","3.3.1.1.28.1","18800","E","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, French or French and other ","Number of persons","Number","223","units","0","v1271224906","3.3.1.1.29.1","74600","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, English and French or English and French and other ","Number of persons","Number","223","units","0","v1271224912","3.3.1.1.30.1","14600","E","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Language(s) spoken most often at home, other","Number of persons","Number","223","units","0","v1271224918","3.3.1.1.31.1","","F","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), less than secondary school graduation","Number of persons","Number","223","units","0","v1271224780","3.3.1.1.8.1","12600","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), secondary school graduation, no post-secondary education","Number of persons","Number","223","units","0","v1271224786","3.3.1.1.9.1","15900","E","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Highest level of education (ages 25 and older), post-secondary certificate/diploma or university degree","Number of persons","Number","223","units","0","v1271224792","3.3.1.1.10.1","43500","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Household income, first quintile","Number of persons","Number","223","units","0","v1271224798","3.3.1.1.11.1","37600","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Household income, second quintile","Number of persons","Number","223","units","0","v1271224804","3.3.1.1.12.1","24600","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Household income, third quintile","Number of persons","Number","223","units","0","v1271224810","3.3.1.1.13.1","23200","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Household income, fourth quintile","Number of persons","Number","223","units","0","v1271224816","3.3.1.1.14.1","14700","E","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Household income, fifth quintile","Number of persons","Number","223","units","0","v1271224822","3.3.1.1.15.1","9600","E","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271224864","3.3.1.1.22.1","77100","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past 12 months","Number of persons","Number","223","units","0","v1271224894","3.3.1.1.27.1","28000","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, full-time","Number of persons","Number","223","units","0","v1271224870","3.3.1.1.23.1","46700","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Worked at a job or business in the past week, part-time","Number of persons","Number","223","units","0","v1271224876","3.3.1.1.24.1","16300","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Did not work at a job or business in the past week (did not have a job)","Number of persons","Number","223","units","0","v1271224888","3.3.1.1.26.1","42000","","","","0"
"2015/2018","Quebec","2016A000224","Bisexual","Both sexes","Total, 15 years and over","Total population","Number of persons","Number","223","units","0","v1271224738","3.3.1.1.1.1","109700","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), married","Number of persons","Number","223","units","0","v1271226976","4.1.1.1.2.1","5416000","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), common-law","Number of persons","Number","223","units","0","v1271226982","4.1.1.1.3.1","712800","","","","0"
"2015/2018","Ontario","2016A000235","Heterosexual","Both sexes","Total, 15 years and over","Marital status (ages 25 and older), previously married (divorced, separated, widowed)","Number of persons","Number","223","units","0","v1271226988","4.1.1.1.4.1","1249000","","","","0"
